Pattern,Pattern Description,Key Concepts,Quest ID,Quest Title,Difficulty,Link,Category
Hash Map,"Key-value lookups for O(1) access. Essential for counting, caching, and quick checks.",Hash Function; Collisions; Counting; Index Mapping,contains_duplicate,Contains Duplicate,easy,https://leetcode.com/problems/contains-duplicate/,Essential
Hash Map,"Key-value lookups for O(1) access. Essential for counting, caching, and quick checks.",Hash Function; Collisions; Counting; Index Mapping,two_sum,Two Sum,easy,https://leetcode.com/problems/two-sum/,Essential
Hash Map,"Key-value lookups for O(1) access. Essential for counting, caching, and quick checks.",Hash Function; Collisions; Counting; Index Mapping,valid_anagram,Valid Anagram,easy,https://leetcode.com/problems/valid-anagram/,Essential
Hash Map,"Key-value lookups for O(1) access. Essential for counting, caching, and quick checks.",Hash Function; Collisions; Counting; Index Mapping,group_anagrams,Group Anagrams,medium,https://leetcode.com/problems/group-anagrams/,Essential
Hash Map,"Key-value lookups for O(1) access. Essential for counting, caching, and quick checks.",Hash Function; Collisions; Counting; Index Mapping,lru_cache,LRU Cache,medium,https://leetcode.com/problems/lru-cache/,Essential
Hash Map,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Two Pointers,Two cursors moving through a data structure (usually array/string) to satisfy constraints.,Opposite Ends (Sorted); Same Direction (Merge/Remove); Partitioning,valid_palindrome,Valid Palindrome,easy,https://leetcode.com/problems/valid-palindrome/,Essential
Two Pointers,Two cursors moving through a data structure (usually array/string) to satisfy constraints.,Opposite Ends (Sorted); Same Direction (Merge/Remove); Partitioning,3sum,3Sum,medium,https://leetcode.com/problems/3sum/,Essential
Two Pointers,Two cursors moving through a data structure (usually array/string) to satisfy constraints.,Opposite Ends (Sorted); Same Direction (Merge/Remove); Partitioning,container_with_most_water,Container With Most Water,medium,https://leetcode.com/problems/container-with-most-water/,Essential
Two Pointers,Two cursors moving through a data structure (usually array/string) to satisfy constraints.,Opposite Ends (Sorted); Same Direction (Merge/Remove); Partitioning,two_sum_ii,Two Sum II - Input Array Is Sorted,medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Essential
Two Pointers,,,RESEARCH_NEEDED,Add Optional Practice Problems...,,,Optional
Sliding Window,A window that slides over data to find a subarray satisfying a condition.,Fixed Size; Variable Size; Auxiliary Structure; Shrinking Condition,best_time_stock,Best Time to Buy and Sell Stock,easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Essential
Sliding Window,A window that slides over data to find a subarray satisfying a condition.,Fixed Size; Variable Size; Auxiliary Structure; Shrinking Condition,longest_repeating_char_replacement,Longest Repeating Character Replacement,medium,https://leetcode.com/problems/longest-repeating-character-replacement/,Essential
Sliding Window,A window that slides over data to find a subarray satisfying a condition.,Fixed Size; Variable Size; Auxiliary Structure; Shrinking Condition,longest_substring_without_repeating,Longest Substring Without Repeating Characters,medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Essential
Sliding Window,A window that slides over data to find a subarray satisfying a condition.,Fixed Size; Variable Size; Auxiliary Structure; Shrinking Condition,max_consecutive_ones_iii,Max Consecutive Ones III,medium,https://leetcode.com/problems/max-consecutive-ones-iii/,Essential
Sliding Window,A window that slides over data to find a subarray satisfying a condition.,Fixed Size; Variable Size; Auxiliary Structure; Shrinking Condition,minimum_size_subarray_sum,Minimum Size Subarray Sum,medium,https://leetcode.com/problems/minimum-size-subarray-sum/,Essential
